"","Neutrophil"
"AL451070.1",0
"FABP3",0.0574459503967161
"SERINC2",0.177202119221631
"AC209007.1",0.0551153583278495
"RNU6-40P",0
"LINC01225",0.0299886314134123
"LINC01226",0.101250314870411
"AC114488.1",0
"TINAGL1",0.0213047027859622
"HCRTR1",0.0552817163953874
"PEF1",0.396423961531032
"AC114488.2",0.0651073735584288
"AC114488.3",0.0851949418877121
"COL16A1",0.176953247511817
"ADGRB2",0
"MIR4254",0
"AL354919.2",0
"SPOCD1",0
"AL354919.1",0
"AL136115.2",0.0521578456659545
"PTP4A2",1.39843067498152
"AL136115.1",0.131920396755161
"AL136115.3",0
"KHDRBS1",0.67485274924525
"AL445248.1",0.0490723226904718
"TMEM39B",0
"MIR5585",0
"KPNA6",0.325148404293683
"AL049795.2",0
"TXLNA",0.243922348257217
"CCDC28B",0.0596174232519786
"AL049795.1",0
"IQCC",0.0641278108555476
"DCDC2B",0
"TMEM234",0.0666850478816491
"EIF3I",0.478815670138151
"MTMR9LP",0.0304790749548848
"FAM167B",0
"LCK",0.133390225105488
"HDAC1",0.199277234869155
"MARCKSL1",0.401495287648907
"AL109945.1",0
"TSSK3",0.0482553746161908
"FAM229A",0.0465358030136282
"BSDC1",0.224765306752291
"GAPDHP20",0
"AL356986.1",0
"LRRC37A12P",0
"RN7SL122P",0
"AL033529.1",0
"ZBTB8B",0
"ZBTB8A",0
"ZBTB8OS",0.161814199374736
"RBBP4",0.169932498086831
"SYNC",0
"AC114489.1",0
"KIAA1522",0.137531879877122
"YARS",0.0245472254780505
"S100PBP",0.0937033730187763
"FNDC5",0
"HPCA",0
"TMEM54",0.0468977071375781
"RNF19B",0.47123774390462
"AL031602.1",0
"AL355864.1",0.0217650991122256
"AL355864.2",0
"AL020995.1",0
"AK2",0.118805585475188
"AZIN2",0.0245472254780505
"AL662907.1",0
"TRIM62",0.264247426104151
"AL662907.2",0.103949864243573
"AL662907.3",0.0410018327581212
"ZNF362",0.162949773780782
"AL513327.3",0.0304790749548848
"A3GALT2",0.0455924337439439
"AL513327.1",0.63072413454889
"PHC2",4.17828783159057
"MIR3605",0
"RN7SKP16",0.113632940367905
"AL513327.2",0
"TLR12P",0
"ZSCAN20",0
"AC115285.1",0
"CSMD2",0.188314186208513
"HSPD1P14",0
"HMGB4",0
"CSMD2-AS1",0
"RNA5SP42",0
"C1orf94",0
"AC115286.1",0
"MIR552",0
"SMIM12",0.0794602898078588
"GJB5",0
"GJB4",0
"AL121988.1",0
"GJB3",0
"GJA4",0.0348064640636097
"AL122010.1",0
"DLGAP3",0
"AC114490.3",0
"AC114490.1",0
"AC114490.2",0
"TMEM35B",0
"ZMYM6",0.167002708373107
"ZMYM1",0
"RPL12P45",0
"EFCAB14P1",0
"AL590434.1",0
"SFPQ",0.371703525987215
"ZMYM4",0.0417692124475731
"RN7SL503P",0
"RF00091",0
"RPL5P4",0.154402897062044
"ZMYM4-AS1",0
"KIAA0319L",2.46950089725069
"AC004865.1",0.0251939512304075
"NCDN",0
"AC004865.2",0
"TFAP2E",0
"PSMB2",0.227134388431842
"C1orf216",0.0297833713891676
"CLSPN",0.0239498632829407
"AL354864.1",0
"AGO4",1.06498852734726
"AGO1",0.420730532911365
"AL139286.1",0.0174551283007393
"AL139286.2",0
"AGO3",0.216809995507658
"AL138787.2",0
"AL138787.1",0.0322855538508007
"TEKT2",0.131234138385047
"ADPRHL2",0.152442915392093
"COL8A2",0
"TRAPPC3",0.0331753167226867
"MAP7D1",0.707544330517498
"RN7SL131P",0
